"Source:","C:\Users\choco\Documents\BSides\BadgeHardware\Badge2019.sch"
"Date:","3/18/2019 10:53:40 PM"
"Tool:","Eeschema (5.0.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","SKU"
"","","BT1","Battery","Device:Battery","Battery_Holders:Keystone_103_1x20mm-CoinCell","~","",""
"","","C1","C","Device:C","Capacitors_SMD:C_0603_HandSoldering","~","",""
"","","D1","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D2","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D3","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D4","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D5","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D6","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D7","LED","Device:LED","LEDs:LED_0603","~","",""
"","","D8","LED","Device:LED","LEDs:LED_0603","~","",""
"","","R1","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R2","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R3","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R4","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R5","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R6","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R7","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R8","R","Device:R","OPL_Resistor:R0603","~","",""
"","","R9","R","Device:R","OPL_Resistor:R0603","~","",""
"","","SW1","SW_SPDT","Switch:SW_SPDT","Buttons_Switches_SMD:SW_SPDT_PCM12","","",""
"","","U1","ATtiny13A-SU","MCU_Microchip_ATtiny:ATtiny13A-SU","SMD_Packages:SOIC-8-N","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8126.pdf","",""
"","","U2","74164","BadLife:74164","SMD_Packages:SOIC-14_N","","",""
"","","USB1","MICRO-USB-SMD_ZX62-B-5PA_","OPL_Connector:MICRO-USB-SMD_ZX62-B-5PA_","OPL_Connector:MICRO-USB5+6P-SMD-0.65-AB","","ZX62-B-5PA","320010005"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MPN","SKU"
"1","1","BT1","Battery","Device:Battery","Battery_Holders:Keystone_103_1x20mm-CoinCell","~","",""
"2","1","C1","C","Device:C","Capacitors_SMD:C_0603_HandSoldering","~","",""
"3","8","D1, D2, D3, D4, D5, D6, D7, D8","LED","Device:LED","LEDs:LED_0603","~","",""
"4","9","R1, R2, R3, R4, R5, R6, R7, R8, R9","R","Device:R","OPL_Resistor:R0603","~","",""
"5","1","SW1","SW_SPDT","Switch:SW_SPDT","Buttons_Switches_SMD:SW_SPDT_PCM12","","",""
"6","1","U1","ATtiny13A-SU","MCU_Microchip_ATtiny:ATtiny13A-SU","SMD_Packages:SOIC-8-N","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8126.pdf","",""
"7","1","U2","74164","BadLife:74164","SMD_Packages:SOIC-14_N","","",""
"8","1","USB1","MICRO-USB-SMD_ZX62-B-5PA_","OPL_Connector:MICRO-USB-SMD_ZX62-B-5PA_","OPL_Connector:MICRO-USB5+6P-SMD-0.65-AB","","ZX62-B-5PA","320010005"
